mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
0,0.0,-0.0,0.0,0.0
1,-1.940007,0.0,0.0,1.940007
2,-1.991116,-0.0,0.0,1.991116
3,-2.435027,0.0,0.0,2.435027
4,-2.534861,0.0,0.0,2.534861
5,-3.364121,0.0,0.0,3.364121
6,-3.6548,-0.0,0.0,3.6548
7,-3.80457,-0.0,0.0,3.80457
8,-4.013858,0.0,0.0,4.013858
9,-4.366445,-1.128458,1.128458,4.509906
10,-4.366445,1.128458,1.128458,4.509906
11,-4.489366,-0.0,0.0,4.489366
12,-4.999062,-0.0,0.0,4.999062
13,-5.176193,-1.492534,1.492534,5.38708
14,-5.176193,1.492534,1.492534,5.38708
15,-5.449867,-0.599006,0.599006,5.482687
16,-5.449867,0.599006,0.599006,5.482687
17,-6.15045,-2.627235,2.627235,6.688079
18,-6.15045,2.627235,2.627235,6.688079
19,-6.257991,-1.853482,1.853482,6.526703
20,-6.257991,1.853482,1.853482,6.526703
21,-6.512438,-0.0,0.0,6.512438
22,-6.85022,-0.89368,0.89368,6.908269
23,-6.85022,0.89368,0.89368,6.908269
24,-7.090735,-3.121927,3.121927,7.747578
25,-7.090735,3.121927,3.121927,7.747578
26,-7.53445,-2.170819,2.170819,7.840944
27,-7.53445,2.170819,2.170819,7.840944
28,-8.208165,-4.474105,4.474105,9.348347
29,-8.208165,4.474105,4.474105,9.348347
30,-8.306872,-3.570056,3.570056,9.041538
31,-8.306872,3.570056,3.570056,9.041538
32,-9.275417,-5.012001,5.012001,10.542936
33,-9.275417,5.012001,5.012001,10.542936
34,-10.463582,-6.540824,6.540824,12.339729
35,-10.463582,6.540824,6.540824,12.339729
